Temp_current,Setpoint,Humidity,Temp_t1,Temp_t2,Command_MPC
21.1,33.25279455760379,88.65158052351643,21.1,21.1,100.0
21.180498866213153,33.25279455760379,93.19664252657054,21.1,21.1,100.0
21.26081519531471,33.25279455760379,64.85668152757601,21.180498866213153,21.1,100.0
21.340949401221025,33.25279455760379,86.98936394247404,21.26081519531471,21.180498866213153,100.0
21.420901896909864,33.25279455760379,41.15102951092914,21.340949401221025,21.26081519531471,100.0
21.50067309442254,33.25279455760379,41.98092768845209,21.420901896909864,21.340949401221025,100.0
21.580263404866027,33.25279455760379,93.67303277584497,21.50067309442254,21.420901896909864,100.0
21.659673238415085,33.25279455760379,63.82951265404414,21.580263404866027,21.50067309442254,100.0
21.73890300431437,33.25279455760379,88.86575929108898,21.659673238415085,21.580263404866027,100.0
21.817953110880552,33.25279455760379,64.98240060084359,21.73890300431437,21.659673238415085,100.0
21.896823965504407,33.25279455760379,58.76282064087912,21.817953110880552,21.73890300431437,100.0
21.97551597465292,33.25279455760379,83.6892372029834,21.896823965504407,21.817953110880552,100.0
22.054029543871394,33.25279455760379,88.00516407570706,21.97551597465292,21.896823965504407,100.0
22.13236507778552,33.25279455760379,57.71917913388975,22.054029543871394,21.97551597465292,100.0
22.210522980103466,33.25279455760379,55.17065427355619,22.13236507778552,22.054029543871394,100.0
22.28850365361797,33.25279455760379,66.77770832648083,22.210522980103466,22.13236507778552,100.0
22.366307500208404,33.25279455760379,74.3988507651606,22.28850365361797,22.210522980103466,100.0
22.443934920842853,33.25279455760379,47.97229487500932,22.366307500208404,22.28850365361797,100.0
22.52138631558017,33.25279455760379,77.5190567630487,22.443934920842853,22.366307500208404,100.0
22.59866208357205,33.25279455760379,83.09206891367342,22.52138631558017,22.443934920842853,100.0
22.675762623065086,33.25279455760379,87.02308911371617,22.59866208357205,22.52138631558017,100.0
22.75268833140281,33.25279455760379,78.2981348443321,22.675762623065086,22.59866208357205,100.0
22.829439605027744,33.25279455760379,71.20588818338582,22.75268833140281,22.675762623065086,100.0
22.906016839483463,33.25279455760379,91.22598933038088,22.829439605027744,22.75268833140281,100.0
22.982420429416607,33.25279455760379,81.62839428026757,22.906016839483463,22.829439605027744,100.0
23.05865076857893,33.25279455760379,42.30327584690302,22.982420429416607,22.906016839483463,100.0
23.134708249829316,33.25279455760379,41.5332432181025,23.05865076857893,22.982420429416607,100.0
23.210593265135827,33.25279455760379,72.14253311889318,23.134708249829316,23.05865076857893,100.0
23.286306205577695,33.25279455760379,74.05039319612109,23.210593265135827,23.134708249829316,100.0
23.36184746134736,33.25279455760379,67.613566435449,23.286306205577695,23.210593265135827,100.0
23.437217421752468,33.25279455760379,59.717318167679764,23.36184746134736,23.286306205577695,100.0
23.512416475217883,33.25279455760379,93.67102619707848,23.437217421752468,23.36184746134736,100.0
23.587445009287684,33.25279455760379,67.84830777996152,23.512416475217883,23.437217421752468,100.0
23.662303410627167,33.25279455760379,80.88072971161415,23.587445009287684,23.512416475217883,100.0
23.73699206502484,33.25279455760379,82.50425778521017,23.662303410627167,23.587445009287684,100.0
23.811511357394398,33.25279455760379,80.75280337642971,23.73699206502484,23.662303410627167,100.0
23.885861671776723,33.25279455760379,91.67871354085742,23.811511357394398,23.73699206502484,100.0
23.960043391341856,33.25279455760379,64.29477199165345,23.885861671776723,23.811511357394398,100.0
24.03405689839097,33.25279455760379,67.64647375675341,23.960043391341856,23.885861671776723,100.0
24.107902574358334,33.25279455760379,50.72255155731325,24.03405689839097,23.960043391341856,100.0
24.181580799813304,33.25279455760379,49.22633861254314,24.107902574358334,24.03405689839097,100.0
24.25509195446225,33.25279455760379,88.99750625155127,24.181580799813304,24.107902574358334,100.0
24.328436417150545,33.25279455760379,81.83824080050525,24.25509195446225,24.181580799813304,100.0
24.401614565864488,33.25279455760379,40.00684568224734,24.328436417150545,24.25509195446225,100.0
24.474626777733278,33.25279455760379,42.23762391875925,24.401614565864488,24.328436417150545,100.0
24.547473429030934,33.25279455760379,80.26267593012518,24.474626777733278,24.401614565864488,100.0
24.620154895178256,33.25279455760379,45.276526190868154,24.547473429030934,24.474626777733278,100.0
24.692671550744745,33.25279455760379,50.4464122498689,24.620154895178256,24.547473429030934,100.0
24.76502376945054,33.25279455760379,65.67111646664571,24.692671550744745,24.620154895178256,100.0
24.83721192416834,33.25279455760379,72.70031242587942,24.76502376945054,24.692671550744745,100.0
24.90923638692533,33.25279455760379,62.39932777774477,24.83721192416834,24.76502376945054,100.0
24.98109752890509,33.25279455760379,89.74341408111029,24.90923638692533,24.83721192416834,100.0
25.05279572044952,33.25279455760379,85.11053344905072,24.98109752890509,24.90923638692533,100.0
25.124331331060745,33.25279455760379,67.79313324380745,25.05279572044952,24.98109752890509,100.0
25.195704729403012,33.25279455760379,90.05387381566746,25.124331331060745,25.05279572044952,100.0
25.266916283304592,33.25279455760379,66.97192952566316,25.195704729403012,25.124331331060745,100.0
25.337966359759683,33.25279455760379,75.86597946943402,25.266916283304592,25.195704729403012,100.0
25.408855324930297,33.25279455760379,94.92593395590123,25.337966359759683,25.266916283304592,100.0
25.47958354414814,33.25279455760379,66.12839028499462,25.408855324930297,25.337966359759683,100.0
25.550151381916514,33.25279455760379,84.85977001347598,25.47958354414814,25.408855324930297,100.0
25.62055920191217,33.25279455760379,64.04302669266272,25.550151381916514,25.47958354414814,100.0
25.690807366987197,33.25279455760379,71.06329181176352,25.62055920191217,25.550151381916514,100.0
25.7608962391709,33.25279455760379,48.913083880117696,25.690807366987197,25.62055920191217,100.0
25.830826179671647,33.25279455760379,83.15486712553114,25.7608962391709,25.690807366987197,100.0
25.90059754887874,33.25279455760379,53.55003251945896,25.830826179671647,25.7608962391709,100.0
25.970210706364274,33.25279455760379,62.800226990884724,25.90059754887874,25.830826179671647,100.0
26.03966601088499,33.25279455760379,93.96137425869881,25.970210706364274,25.90059754887874,100.0
26.108963820384115,33.25279455760379,81.17662085839879,26.03966601088499,25.970210706364274,100.0
26.17810449199322,33.25279455760379,58.8377982470888,26.108963820384115,26.03966601088499,100.0
26.247088382034054,33.25279455760379,55.29743542955312,26.17810449199322,26.108963820384115,100.0
26.31591584602037,33.25279455760379,82.35115913916897,26.247088382034054,26.17810449199322,100.0
